total,grade,major
58,1,0
81,1,0
70,1,1
74,1,1
65,1,0
79,3,1
57,1,0
87,3,0
81,1,1
62,1,0
79,1,1
83,3,1
58,1,0
39,4,1
72,3,1
62,1,0
69,1,1
82,1,1
56,2,0
51,1,0
62,1,0
99,1,0
39,4,0
57,2,1
74,1,0
72,3,0
65,2,0
83,1,1
74,1,1
83,3,0
81,1,0
66,1,0
76,1,0
49,1,0
80,1,0
79,2,1
92,1,1
17,4,0
76,1,1
97,1,1
83,1,1
