total,grade,major
75.33333333,1,1
27.46666667,1,0
63.86666667,1,1
55.93333333,2,0
69.26666667,2,0
38.2,2,0
66.93333333,4,1
81.4,4,1
63.46666667,3,1
80,1,1
67.6,4,0
29.6,1,0
49.4,1,0
70.66666667,3,0
90.13333333,3,1
94.53333333,3,1
66.93333333,1,0
59.2,3,0
50.13333333,2,0
61.06666667,3,0
74,1,1
43,1,0
63.46666667,3,1
79.46666667,3,0
71.06666667,2,1
55.2,1,0
55.46666667,1,0
60.13333333,3,0
